incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Burglary to Vehicle,2018-0116,2018-05-25,22:50,2018-05-25,19:45,Lot 18 Suspended,University of North Florida
Possession of a,2018-0100,2018-05-24,08:20,2018-04-26,10:15,Bldg. 12 Suspended,University of North Florida
Grand Theft,2018-0115,2018-05-23,16:54,2018-05-21,10:00,Bldg. 50 Suspended,University of North Florida
Possess Marijuana,2018-0111,2018-05-21,21:56,2018-05-21,21:56,4654 Osprey Ridge Rd Cleared by arrest,University of North Florida
Burglary,2018-0107,2018-05-21,09:07,2018-04-10,17:00,Bldg. 39 Suspended,University of North Florida
Threats to Extort,2018-0110,2018-05-19,08:36,2013-10-01,00:01,The Flats Open,University of North Florida
Petit Theft,2018-0109,2018-05-16,17:11,2018-05-11,14:00,Bldg. 4 Suspended,University of North Florida
Burglary,2018-0107,2018-05-16,12:47,2018-04-10,17:00,Bldg 39 Suspended,University of North Florida
Trespass In Structure,2018-0102,2018-04-30,07:18,2018-04-28,12:00,Osprey Flats Suspended,University of North Florida
Burglary To Vehicle,2018-0103,2018-04-29,23:08,2018-04-29,01:00,Osprey Flats Suspended,University of North Florida
Burglary to Vehicle,2018-0103,2018-04-29,23:08,2018-04-29,01:00,Osprey Flats,University of North Florida
Criminal Mischief,2018-0101,2018-04-28,10:26,2018-04-28,08:00,1 UNF Dr/Bldg 2 Suspended,University of North Florida
Possess marijuana,2018-0099,2018-04-24,20:45,2018-04-24,20:45,Osprey Village,University of North Florida
Grand Theft,2018-0097,2018-04-22,16:57,2018-04-22,15:25,Bldg. 16,University of North Florida
Possess Marijuana &,2018-0095,2018-04-16,22:20,2018-04-16,22:20,Osprey Hall,University of North Florida
Possess Marijuana,2018-0093,2018-04-15,03:42,2018-04-15,03:42,Osprey Landing,University of North Florida
Sexual Battery,2018-0090,2018-04-11,16:39,NA,NA,Osprey Fountains,University of North Florida
Threat of extortion,2018-0088,2018-04-10,17:34,2018-04-07,16:00,Osprey Fountains,University of North Florida
Threat of extortion,2018-0088,2018-04-09,15:42,2018-04-07,16:00,Osprey Fountains,University of North Florida
Schemes to Defraud,2018-0052,2018-04-06,10:19,2018-03-06,15:29,Hicks Hall,University of North Florida
Possess Marijuana,2018-0082,2018-04-05,20:40,2018-04-05,20:40,Osprey Village,University of North Florida
Petit Theft,2018-0080,2018-04-04,20:21,2018-04-04,17:40,Bldg 12,University of North Florida
Petit Theft,2018-0079,2018-04-04,19:39,2018-04-04,16:00,NA,University of North Florida
Petit Theft,2018-0077,2018-04-03,13:55,2018-04-01,19:15,Bldg 12,University of North Florida
Posession of,2018-0076,2018-04-03,12:46,2018-04-03,12:46,Osprey Fountains,University of North Florida
Burglary to Vehicle,2018-0070,2018-03-27,14:22,2018-03-27,12:00,Lot 100,University of North Florida
