incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Narcotics                                     ,2019-00020845,09-10-2019,8:03,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020860,09-10-2019,1:26,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00020865,09-10-2019,2:48,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person        ,2019-00020882,09-11-2019,2:19,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00020902,09-11-2019,8:30,Ball State University,NA,NA,NA
Theft                                         ,2019-00020909,09-11-2019,0:05,Ball State University,NA,NA,NA
Theft                                         ,2019-00020913,09-11-2019,8:00,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00020914,09-11-2019,1:43,Ball State University,NA,NA,NA
Theft                                         ,2019-00020931,09-11-2019,7:11,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00021011,09-12-2019,8:50,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00021022,09-12-2019,2:30,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00021065,09-12-2019,2:33,Ball State University,NA,NA,NA
Rape                                          ,2019-00021086,09-12-2019,0:53,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00021127,09-13-2019,0:00,Ball State University,NA,NA,NA
Harassment                                    ,2019-00021149,09-13-2019,8:03,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00021155,09-13-2019,1:52,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00021160,09-14-2019,0:58,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00021163,09-14-2019,2:23,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00021165,09-14-2019,3:07,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00021167,09-14-2019,3:13,Ball State University,NA,NA,NA
Battery                                       ,2019-00021196,09-14-2019,0:58,Ball State University,NA,NA,NA
Theft                                         ,2019-00021202,09-14-2019,2:17,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00021206,09-14-2019,4:24,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00021208,09-14-2019,3:50,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00021213,09-14-2019,6:49,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                                   ,2019-00021227,09-14-2019,7:35,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021220,09-14-2019,9:40,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021235,09-14-2019,1:50,Ball State University,NA,NA,NA
Illegal possession of alcohol           ,2019-00021240,09-14-2019,3:58,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021243,09-15-2019,0:48,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021246,09-15-2019,1:47,Ball State University,NA,NA,NA
Disorderly Conduct                      ,2019-00021249,09-15-2019,2:22,Ball State University,NA,NA,NA
Disorderly Conduct                      ,2019-00021250,09-15-2019,2:31,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021259,09-15-2019,4:35,Ball State University,NA,NA,NA
Trespassing                             ,2019-00021267,09-15-2019,9:18,Ball State University,NA,NA,NA
Theft                                   ,2019-00021272,09-15-2019,1:00,Ball State University,NA,NA,NA
Criminal Mischief                       ,2019-00021283,09-15-2019,5:34,Ball State University,NA,NA,NA
Assist Other Agency-Death Investigation ,2019-00021287,09-15-2019,6:38,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021306,09-15-2019,2:11,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021310,09-15-2019,3:30,Ball State University,NA,NA,NA
Assist Other Agency-Battery             ,2019-00021323,09-16-2019,2:02,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021367,09-16-2019,0:00,Ball State University,NA,NA,NA
Rape                                    ,2019-00021368,09-16-2019,6:00,Ball State University,NA,NA,NA
Criminal Mischief                       ,2019-00021420,09-17-2019,3:18,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2019-00021446,09-17-2019,0:30,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021464,09-17-2019,3:00,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021472,09-17-2019,1:15,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021483,09-18-2019,1:17,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021484,09-18-2019,1:31,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021508,09-18-2019,7:15,Ball State University,NA,NA,NA
Criminal Mischief                       ,2019-00021525,09-18-2019,2:18,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021558,09-18-2019,3:20,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021569,09-19-2019,0:50,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021574,09-19-2019,2:22,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021608,09-19-2019,3:30,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021615,09-19-2019,3:44,Ball State University,NA,NA,NA
Theft                                   ,2019-00021618,09-19-2019,6:00,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021658,09-19-2019,3:30,Ball State University,NA,NA,NA
Intoxicated Driver                      ,2019-00021665,09-20-2019,0:44,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2019-00021723,09-20-2019,2:56,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021725,09-20-2019,3:30,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021727,09-20-2019,6:30,Ball State University,NA,NA,NA
Theft                                   ,2019-00021729,09-20-2019,3:00,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021767,09-21-2019,0:16,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021774,09-21-2019,2:20,Ball State University,NA,NA,NA
Intoxicated Driver                      ,2019-00021775,09-21-2019,2:22,Ball State University,NA,NA,NA
Driving While Suspended                 ,2019-00021777,09-21-2019,2:58,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2019-00021817,09-21-2019,3:30,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021835,09-21-2019,9:20,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021850,09-21-2019,8:30,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021873,09-22-2019,1:03,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00021884,09-22-2019,2:48,Ball State University,NA,NA,NA
Battery                                 ,2019-00021886,09-22-2019,3:18,Ball State University,NA,NA,NA
Battery                                 ,2019-00021887,09-22-2019,3:23,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021902,09-22-2019,5:24,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021940,09-22-2019,9:00,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021967,09-23-2019,6:30,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021992,09-23-2019,4:00,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00021993,09-23-2019,2:00,Ball State University,NA,NA,NA
Narcotics                               ,2019-00021999,09-23-2019,5:20,Ball State University,NA,NA,NA
Sexual Battery                          ,2019-00022015,09-23-2019,3:59,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022034,09-24-2019,0:28,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022096,09-24-2019,0:31,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022108,09-25-2019,0:40,Ball State University,NA,NA,NA
Assist Other Agency-Burglary            ,2019-00022119,09-25-2019,2:22,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00022124,09-25-2019,3:14,Ball State University,NA,NA,NA
Theft                                   ,2019-00022187,09-25-2019,9:11,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022199,09-26-2019,0:03,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022201,09-26-2019,0:26,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022205,09-26-2019,1:22,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2019-00022263,09-26-2019,6:00,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2019-00022250,09-26-2019,6:15,Ball State University,NA,NA,NA
Criminal Mischief                       ,2019-00022253,09-26-2019,4:02,Ball State University,NA,NA,NA
Burglary                                ,2019-00022259,09-26-2019,9:23,Ball State University,NA,NA,NA
Theft                                   ,2019-00022279,09-26-2019,0:00,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022292,09-27-2019,0:08,Ball State University,NA,NA,NA
Theft                                   ,2019-00022342,09-27-2019,0:30,Ball State University,NA,NA,NA
Invasion of Privacy                     ,2019-00022375,09-27-2019,0:54,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00022393,09-28-2019,1:14,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022394,09-28-2019,1:58,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00022413,09-28-2019,9:11,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00022420,09-28-2019,0:00,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00022420,09-28-2019,0:00,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00022423,09-28-2019,0:32,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00022423,09-28-2019,0:32,Ball State University,NA,NA,NA
Theft                                   ,2019-00022425,09-28-2019,2:24,Ball State University,NA,NA,NA
Burglary                                ,2019-00022432,09-28-2019,2:00,Ball State University,NA,NA,NA
Suspended Driver                        ,2019-00022437,09-28-2019,7:32,Ball State University,NA,NA,NA
Theft-bicycle                           ,2019-00022457,09-28-2019,2:00,Ball State University,NA,NA,NA
Intoxicated Person                      ,2019-00022469,09-28-2019,3:24,Ball State University,NA,NA,NA
Narcotics                               ,2019-00022473,09-29-2019,0:24,Ball State University,NA,NA,NA
Robbery                                 ,2019-00022474,09-29-2019,0:38,Ball State University,NA,NA,NA
Assist Other Agency -Burglary           ,2019-00022478,09-29-2019,2:35,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute   ,2019-00022496,09-29-2019,9:39,Ball State University,NA,NA,NA
Theft                                   ,2019-00022540,09-29-2019,1:20,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute   ,2019-00022547,09-29-2019,3:54,Ball State University,NA,NA,NA
Assist Other Agency-Theft from vehicle  ,2019-00022549,09-30-2019,0:25,Ball State University,NA,NA,NA
